ISO Week,src,src_humans
2006-17,66,66
2006-18,51,51
2006-19,131,131
2006-20,110,110
2006-21,79,79
2006-22,78,78
2006-23,69,69
2006-24,69,69
2006-25,120,120
2006-26,91,91
2006-27,110,110
2006-28,161,161
2006-29,96,96
2006-30,66,66
2006-31,85,85
2006-32,21,21
2006-33,72,72
2006-34,107,107
2006-35,125,125
2006-36,71,71
2006-37,115,115
2006-38,125,125
2006-39,117,117
2006-40,177,177
2006-41,151,151
2006-42,133,133
2006-43,173,173
2006-44,156,156
2006-45,119,119
2006-46,89,89
2006-47,20,20
2006-48,66,66
2006-49,132,132
2006-50,112,112
2006-51,114,114
2006-52,82,82
2007-01,136,136
2007-02,177,177
2007-03,140,140
2007-04,160,160
2007-05,156,156
2007-06,144,144
2007-07,109,109
2007-08,126,126
2007-09,91,91
2007-10,132,132
2007-11,172,172
2007-12,148,148
2007-13,98,98
2007-14,75,75
2007-15,51,51
2007-16,85,85
2007-17,158,158
2007-18,60,60
2007-19,134,134
2007-20,148,148
2007-21,177,177
2007-22,79,79
2007-23,55,55
2007-24,81,81
2007-25,109,109
2007-26,139,139
2007-27,162,162
2007-28,128,128
2007-29,197,197
2007-30,193,193
2007-31,91,91
2007-32,125,125
2007-33,89,89
2007-34,82,82
2007-35,82,82
2007-36,107,107
2007-37,118,118
2007-38,107,107
2007-39,88,88
2007-40,85,85
2007-41,246,246
2007-42,211,211
2007-43,325,325
2007-44,236,236
2007-45,263,263
2007-46,198,198
2007-47,125,125
2007-48,286,286
2007-49,233,233
2007-50,188,188
2007-51,163,163
2007-52,73,73
2008-01,174,174
2008-02,234,234
2008-03,217,217
2008-04,140,140
2008-05,129,129
2008-06,169,169
2008-07,154,154
2008-08,166,166
2008-09,133,133
2008-10,200,200
2008-11,173,173
2008-12,148,148
2008-13,171,171
2008-14,150,150
2008-15,150,150
2008-16,242,242
2008-17,252,252
2008-18,199,199
2008-19,137,137
2008-20,201,201
2008-21,217,217
2008-22,111,111
2008-23,160,160
2008-24,118,118
2008-25,151,151
2008-26,146,146
2008-27,145,145
2008-28,120,120
2008-29,101,101
2008-30,167,167
2008-31,324,324
2008-32,401,401
2008-33,452,452
2008-34,359,359
2008-35,331,331
2008-36,264,264
2008-37,376,376
2008-38,503,503
2008-39,458,458
2008-40,413,413
2008-41,516,516
2008-42,426,426
2008-43,451,451
2008-44,428,428
2008-45,476,476
2008-46,522,522
2008-47,525,525
2008-48,309,309
2008-49,520,520
2008-50,579,579
2008-51,438,438
2008-52,164,164
2009-01,150,150
2009-02,454,454
2009-03,524,524
2009-04,488,488
2009-05,584,584
2009-06,543,543
2009-07,626,626
2009-08,370,370
2009-09,655,655
2009-10,627,627
2009-11,572,572
2009-12,583,583
2009-13,597,597
2009-14,446,446
2009-15,553,553
2009-16,561,561
2009-17,587,587
2009-18,663,663
2009-19,717,717
2009-20,693,693
2009-21,788,788
2009-22,542,542
2009-23,627,627
2009-24,603,603
2009-25,722,722
2009-26,808,808
2009-27,593,593
2009-28,671,671
2009-29,837,837
2009-30,814,814
2009-31,769,769
2009-32,761,761
2009-33,870,870
2009-34,815,815
2009-35,744,744
2009-36,798,798
2009-37,637,637
2009-38,702,702
2009-39,806,806
2009-40,829,829
2009-41,923,923
2009-42,857,857
2009-43,844,844
2009-44,896,896
